,Mid_kept,activation,epochs,batch_size,neurons,consensus,depth,accuracy
60,00000029646,0000000tanh,00000000500,00000003500,00000000008,0consensus6,00000000003,0.990776462
61,00000028846,0000000selu,00000000250,00000003500,00000000011,0consensus5,00000000003,0.989493687
62,00000028846,0000000tanh,00000000025,00000000500,00000000005,0consensus5,00000000003,0.987382851
63,00000028846,0000000selu,00000000500,00000000500,00000000008,0consensus6,00000000003,0.991858205
64,00000028846,0000000selu,00000000250,00000000750,00000000008,0consensus6,00000000003,0.991867778
65,00000028846,0000000selu,00000000100,00000001000,00000000011,0consensus5,00000000003,0.992494807
66,00000028846,0000000tanh,00000000250,00000000750,00000000005,0consensus5,00000000003,0.981126928
67,00000028846,0000000selu,00000000100,00000003500,00000000011,0consensus5,00000000003,0.988852299
69,00000028846,0000000selu,00000000100,00000000750,00000000011,0consensus5,00000000003,0.989292655
71,00000028846,0000000tanh,00000000100,00000000500,00000000005,0consensus5,00000000003,0.989713865
72,00000028846,0000000tanh,00000000100,00000001000,00000000005,0consensus5,00000000003,0.985453901
74,00000028846,0000000tanh,00000000500,00000001000,00000000005,0consensus6,00000000003,0.992092743
75,00000028846,0000000selu,00000000500,00000003500,00000000005,0consensus5,00000000003,0.984333866
76,00000028846,0000000tanh,00000000250,00000000750,00000000005,0consensus6,00000000003,0.991068437
77,00000028846,0000000tanh,00000000500,00000001000,00000000005,0consensus5,00000000003,0.966150046
79,00000028846,0000000tanh,00000000250,00000001000,00000000005,0consensus6,00000000003,0.990182939
80,00000028846,0000000tanh,00000000500,00000003500,00000000005,0consensus5,00000000003,0.986090503
81,00000028846,0000000tanh,00000000500,00000003500,00000000005,0consensus6,00000000003,0.989804808
82,00000028846,0000000tanh,00000000250,00000001000,00000000008,0consensus6,00000000003,0.991121088
83,00000028846,0000000tanh,00000000025,00000000500,00000000008,0consensus5,00000000003,0.98798116
84,00000028846,0000000tanh,00000000250,00000003500,00000000005,0consensus5,00000000003,0.98898632
85,00000028846,0000000tanh,00000000100,00000000750,00000000008,0consensus5,00000000003,0.99057543
